,action_id,action_type_label,action_subcategory_label,action_start_date,action_year,action_end_date,action_collection_year,action_collection,action_universe,action_category_label,action_channel,action_label,client_id,client_is_present,client_is_invited,duration,duration_days,gain_user,cluster_not_attending_gain,real_gain_event
29,a756154,Social Celebrity Action,Collection,2021-09-30,2021,2021-09-30,2021,Retail Action,Women's Fashion,Retail,In store,Back-to-School Promotion,c64297792,1,1,0 days,0.0,2541.5956210902586,0.0,2541.5956210902586
30,a630461,Social Celebrity Action,Collection,2020-10-02,2020,2020-10-03,2020,Retail Action,Women's Fashion,Retail,,Miscellaneous Social Gathering,c33501626,1,1,1 days,1.0,-2345.3284789644013,0.0,-2345.3284789644013
31,a955419,Collection,Collection,2021-05-27,2021,2021-06-01,2021,Formal Retail Action,Men's Fashion,Retail,,Exclusive Offer,c27875739,1,1,5 days,5.0,-9023.667120181406,0.0,-9023.667120181406
32,a800414,Collection,Collection,2021-07-29,2021,2021-08-01,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c31772266,1,1,3 days,3.0,-9062.462077493818,0.0,-9062.462077493818
33,a203280,Collection,Collection,2021-08-04,2021,2021-08-08,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c31772266,0,1,4 days,4.0,,,
34,a346088,Collection,Collection,2021-10-25,2021,2021-10-31,2021,Sailor Collection,Women's Fashion,Retail,Outside venue,Outdoor Event,c57076398,1,1,6 days,6.0,16386.918348193336,0.0,16386.918348193336
35,a346088,Collection,Collection,2021-10-25,2021,2021-10-31,2021,Sailor Collection,Women's Fashion,Retail,Outside venue,Outdoor Event,c30958328,1,1,6 days,6.0,16386.918348193336,0.0,16386.918348193336
36,a666854,Collection,Collection,2021-11-30,2021,2021-11-30,2021,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c03520901,1,1,0 days,0.0,-11087.707756232687,0.0,-11087.707756232687
37,a476857,Collection,Collection,2020-07-02,2020,2020-07-02,2020,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c92590727,1,1,0 days,0.0,-9165.294240837697,0.0,-9165.294240837697
38,a770518,Collection,Collection,2022-02-09,2022,2022-02-13,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c57282657,1,1,4 days,4.0,-10115.242122719736,0.0,-10115.242122719736
39,a770518,Collection,Collection,2022-02-09,2022,2022-02-13,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c84027453,0,1,4 days,4.0,,,
40,a157849,Social Celebrity Action,Collection,2021-07-07,2021,2021-07-07,2021,Retail Action,Women's Fashion,Retail,In store,Miscellaneous Social Gathering,c93522329,1,1,0 days,0.0,-8942.79872611465,0.0,-8942.79872611465
41,a157849,Social Celebrity Action,Collection,2021-07-07,2021,2021-07-07,2021,Retail Action,Women's Fashion,Retail,In store,Miscellaneous Social Gathering,c97361035,1,1,0 days,0.0,-8942.79872611465,0.0,-8942.79872611465
42,a268531,Collection,Collection,2022-02-07,2022,2022-02-10,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c02713137,1,1,3 days,3.0,-10162.776767259198,0.0,-10162.776767259198
43,a005924,Collection,Collection,2022-02-11,2022,2022-02-13,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c84447229,1,1,2 days,2.0,-10101.697520661157,0.0,-10101.697520661157
44,a527973,Collection,Collection,2022-02-15,2022,2022-02-17,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c25307150,0,1,2 days,2.0,,,
45,a117439,Collection,Collection,2022-02-25,2022,2022-02-27,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c96134745,1,1,2 days,2.0,-10392.733618843684,0.0,-10392.733618843684
46,a579353,Collection,Collection,2020-07-24,2020,2020-07-26,2020,Winter Collection,Men's Fashion,Retail,In store,Exclusive Offer,c62554757,1,1,2 days,2.0,-9175.412355600201,0.0,-9175.412355600201
47,a348867,Collection,Collection,2022-02-17,2022,2022-02-20,2022,Summer Collection,Men's Fashion,Retail,In store,Exclusive Offer,c28499117,1,1,3 days,3.0,-9991.548865979381,0.0,-9991.548865979381
48,a479648,Collection,Collection,2022-02-17,2022,2022-02-20,2022,Summer Collection,Men's Fashion,Retail,In store,Exclusive Offer,c96134745,1,1,3 days,3.0,-9991.548865979381,0.0,-9991.548865979381
49,a354540,Collection,Collection,2022-02-04,2022,2022-02-07,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c39580634,1,1,3 days,3.0,-10163.407758976475,0.0,-10163.407758976475
50,a793604,Collection,Collection,2022-03-02,2022,2022-03-05,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c39809280,1,1,3 days,3.0,-10431.471566054242,0.0,-10431.471566054242
51,a569308,Collection,Collection,2022-02-23,2022,2022-02-26,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c26213555,1,1,3 days,3.0,-10318.758460236886,0.0,-10318.758460236886
52,a569308,Collection,Collection,2022-02-23,2022,2022-02-26,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c35390344,1,1,3 days,3.0,-10318.758460236886,0.0,-10318.758460236886
53,a569308,Collection,Collection,2022-02-23,2022,2022-02-26,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c90328997,1,1,3 days,3.0,-10318.758460236886,0.0,-10318.758460236886
54,a766977,Collection,Collection,2022-03-16,2022,2022-03-17,2022,Summer Collection,Women's Fashion,Retail,In store,Trunk Show Event,c11229321,1,1,1 days,1.0,-9983.369620253165,0.0,-9983.369620253165
55,a766977,Collection,Collection,2022-03-16,2022,2022-03-17,2022,Summer Collection,Women's Fashion,Retail,In store,Trunk Show Event,c02979015,1,1,1 days,1.0,-9983.369620253165,0.0,-9983.369620253165
56,a766977,Collection,Collection,2022-03-16,2022,2022-03-17,2022,Summer Collection,Women's Fashion,Retail,In store,Trunk Show Event,c42097478,1,1,1 days,1.0,-9983.369620253165,0.0,-9983.369620253165
57,a132930,Collection,Collection,2021-08-27,2021,2021-09-01,2021,Winter Collection,Men's Fashion,Retail,,Exclusive Offer,c82823441,1,1,5 days,5.0,-8866.152882205513,0.0,-8866.152882205513
58,a940406,Collection,Collection,2020-10-24,2020,2020-10-26,2020,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c90510533,1,1,2 days,2.0,-9600.13463626493,0.0,-9600.13463626493
59,a940406,Collection,Collection,2020-10-24,2020,2020-10-26,2020,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c91481551,1,1,2 days,2.0,-9600.13463626493,0.0,-9600.13463626493
60,a585528,Collection,Collection,2020-11-04,2020,2020-11-05,2020,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c74402279,1,1,1 days,1.0,-9977.938918918919,0.0,-9977.938918918919
61,a093245,Collection,Collection,2021-04-22,2021,2021-04-23,2021,Fall Collection,Women's Fashion,Retail,,Trunk Show Event,c14970405,1,1,1 days,1.0,8646.502896115944,0.0,8646.502896115944
62,a859702,Social Celebrity Action,Collection,2021-07-15,2021,2021-07-15,2021,Retail Action,Women's Fashion,Retail,In store,Miscellaneous Social Gathering,c06297993,0,1,0 days,0.0,,,
63,a604171,Collection,Collection,2020-07-15,2020,2020-07-17,2020,Winter Collection,Women's Fashion,Retail,In store,Social Gathering,c42501828,1,1,2 days,2.0,15193.201870286575,0.0,15193.201870286575
64,a604171,Collection,Collection,2020-07-15,2020,2020-07-17,2020,Winter Collection,Women's Fashion,Retail,In store,Social Gathering,c14970405,1,1,2 days,2.0,15193.201870286575,0.0,15193.201870286575
65,a046728,Collection,Collection,2021-08-26,2021,2021-08-26,2021,Winter Collection,Men's Fashion,Retail,In store,Exclusive Offer,c72698204,0,1,0 days,0.0,,,
66,a880765,Collection,Collection,2022-01-20,2022,2022-01-20,2022,Art Collection,Women's Fashion,Retail,In store,Exclusive Offer,c81576960,1,1,0 days,0.0,-10362.245413779046,0.0,-10362.245413779046
67,a319267,Collection,Collection,2021-10-07,2021,2021-10-10,2021,Formal Retail Action,Men's Fashion,Retail,,Exclusive Offer,c52080836,1,1,3 days,3.0,-8761.445400996829,0.0,-8761.445400996829
68,a285932,Collection,Collection,2020-07-16,2020,2020-07-31,2020,Winter Collection,Men's Fashion,Retail,In store,Exclusive Offer,c32516171,1,1,15 days,15.0,25668.188205128205,0.0,25668.188205128205
69,a700385,Social Celebrity Action,Collection,2020-03-09,2020,2020-03-09,2020,Retail Action,Women's Fashion,Retail,In store,Miscellaneous Social Gathering,c90358414,1,1,0 days,0.0,-7022.199175824176,0.0,-7022.199175824176
70,a321430,Collection,Collection,2022-03-17,2022,2022-03-20,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c95961804,1,1,3 days,3.0,-9937.032989690722,0.0,-9937.032989690722
71,a321430,Collection,Collection,2022-03-17,2022,2022-03-20,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c97518791,1,1,3 days,3.0,-9937.032989690722,0.0,-9937.032989690722
72,a308032,Business Treatment,Special Client,2021-03-09,2021,2021-03-09,2021,Winter Collection,Women's Fashion,Client,Outside venue,Business Engagement,c83122235,1,1,0 days,0.0,-8472.864775239499,0.0,-8472.864775239499
73,a091304,Collection,Collection,2020-04-02,2020,2020-04-05,2020,Spring-Summer Collection,Infant and Toddler,Retail,In store,Exclusive Offer,c89863326,1,1,3 days,3.0,5125.655989750159,0.0,5125.655989750159
74,a604139,Collection,Collection,2020-10-02,2020,2020-10-02,2020,Winter Collection,Men's Fashion,Retail,In store,Exclusive Offer,c11312244,0,1,0 days,0.0,,,
75,a040555,Collection,Collection,2020-07-22,2020,2020-07-26,2020,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c73395833,1,1,4 days,4.0,-8257.651997976733,0.0,-8257.651997976733
76,a290310,Collection,Collection,2020-07-30,2020,2020-08-01,2020,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c35479196,1,1,2 days,2.0,-8480.3033151905,0.0,-8480.3033151905
77,a315524,Collection,Collection,2020-07-30,2020,2020-08-01,2020,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c04612274,1,1,2 days,2.0,-8480.3033151905,0.0,-8480.3033151905
78,a889830,Collection,Collection,2020-08-11,2020,2020-08-13,2020,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c93869026,0,1,2 days,2.0,,,
79,a661140,Collection,Collection,2021-01-16,2021,2021-01-17,2021,Spring Collection,Men's Fashion,Retail,,Exclusive Offer,c82823441,1,1,1 days,1.0,-8749.156081808396,0.0,-8749.156081808396
80,a203726,Collection,Collection,2021-06-23,2021,2021-08-09,2021,Fall-Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c91143033,1,1,47 days,47.0,-8765.135855546001,0.0,-8765.135855546001
81,a792827,Collection,Collection,2021-10-24,2021,2021-10-26,2021,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c03870779,0,1,2 days,2.0,,,
82,a158956,Collection,Collection,2022-03-11,2022,2022-03-13,2022,Spring-Summer Collection,Infant and Toddler,Retail,,Outdoor Event,c61861917,1,1,2 days,2.0,-10216.500484496124,0.0,-10216.500484496124
83,a499090,Social Celebrity Action,Collection,2021-12-11,2021,2021-12-12,2021,Retail Action,Women's Fashion,Retail,In store,Holiday Celebration,c66482003,1,1,1 days,1.0,-11214.314988814318,0.0,-11214.314988814318
84,a408582,Collection,Collection,2021-07-22,2021,2021-07-26,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c10812825,1,1,4 days,4.0,-9255.140175219023,0.0,-9255.140175219023
85,a408582,Collection,Collection,2021-07-22,2021,2021-07-26,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c36449974,1,1,4 days,4.0,-9255.140175219023,0.0,-9255.140175219023
86,a638942,Collection,Collection,2021-07-22,2021,2021-07-24,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c12090682,0,1,2 days,2.0,,,
87,a935025,Collection,Collection,2021-07-27,2021,2021-07-29,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c89679868,1,1,2 days,2.0,-9139.386578839029,0.0,-9139.386578839029
88,a943270,Collection,Collection,2021-07-28,2021,2021-07-30,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c73787849,1,1,2 days,2.0,-9072.8292883587,0.0,-9072.8292883587
89,a943270,Collection,Collection,2021-07-28,2021,2021-07-30,2021,Winter Collection,Women's Fashion,Retail,In store,Exclusive Offer,c31502278,0,1,2 days,2.0,,,
90,a254084,Collection,Collection,2021-04-07,2021,2021-04-07,2021,Mid-Season Jewelry and Timepieces,Timepieces and Jewelry,Retail,In store,Social Gathering,c41207580,1,1,0 days,0.0,89.40456026058746,0.0,89.40456026058746
91,a771267,Collection,Collection,2022-03-08,2022,2022-03-11,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c92337853,1,1,3 days,3.0,-10230.195167286245,0.0,-10230.195167286245
92,a338696,Collection,Collection,2021-03-18,2021,2021-03-22,2021,Summer Collection,Women's Fashion,Retail,In store,Outdoor Event,c02502430,1,1,4 days,4.0,-8536.377820267686,0.0,-8536.377820267686
93,a177233,Collection,Collection,2020-02-26,2020,2020-02-26,2020,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c00970628,0,1,0 days,0.0,,,
94,a177233,Collection,Collection,2020-02-26,2020,2020-02-26,2020,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c72455064,0,1,0 days,0.0,,,
95,a424407,Collection,Collection,2022-01-21,2022,2022-01-25,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c03301742,1,1,4 days,4.0,-10339.695794201714,0.0,-10339.695794201714
96,a424407,Collection,Collection,2022-01-21,2022,2022-01-25,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c23960379,1,1,4 days,4.0,-10339.695794201714,0.0,-10339.695794201714
97,a206495,Collection,Collection,2022-01-13,2022,2022-01-16,2022,Summer Collection,Men's Fashion,Retail,In store,Exclusive Offer,c42748821,1,1,3 days,3.0,-10578.0489108097,0.0,-10578.0489108097
98,a262817,Collection,Collection,2022-01-13,2022,2022-01-16,2022,Summer Collection,Men's Fashion,Retail,In store,Exclusive Offer,c76989361,0,1,3 days,3.0,,,
99,a575947,Collection,Collection,2020-02-12,2020,2020-02-13,2020,Summer Collection,Women's Fashion,Retail,,Exclusive Offer,c42400457,1,1,1 days,1.0,10960.017369600653,0.0,10960.017369600653
100,a805157,Collection,Collection,2020-06-04,2020,2020-06-07,2020,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c68651004,0,1,3 days,3.0,,,
101,a686877,Collection,Collection,2020-11-12,2020,2020-11-30,2020,Spring Collection,Men's Fashion,Retail,Outside venue,Exclusive Offer,c89348976,1,1,18 days,18.0,-9497.474188398084,0.0,-9497.474188398084
102,a036273,Collection,Collection,2020-09-09,2020,2020-09-13,2020,Sailor Collection,Women's Fashion,Retail,In store,Exclusive Offer,c42253156,1,1,4 days,4.0,-8903.365177195687,0.0,-8903.365177195687
103,a697704,Collection,Collection,2021-05-17,2021,2021-05-18,2021,Fall Collection,Women's Fashion,Retail,,Exclusive Offer,c45846673,1,1,1 days,1.0,-7209.573339483395,0.0,-7209.573339483395
104,a214840,Collection,Collection,2022-04-14,2022,2022-04-17,2022,Fall Collection,Men's Fashion,Retail,In store,Exclusive Offer,c00515174,1,1,3 days,3.0,-8945.51729957806,0.0,-8945.51729957806
105,a925494,Collection,Collection,2022-03-10,2022,2022-03-11,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c83464279,1,1,1 days,1.0,-10279.286468330134,0.0,-10279.286468330134
106,a272026,Collection,Collection,2021-06-03,2021,2021-06-06,2021,Cote d'Azur Collection,Women's Fashion,Retail,In store,Exclusive Offer,c11937228,0,1,3 days,3.0,,,
107,a272026,Collection,Collection,2021-06-03,2021,2021-06-06,2021,Cote d'Azur Collection,Women's Fashion,Retail,In store,Exclusive Offer,c92633599,1,1,3 days,3.0,-8878.058562555458,0.0,-8878.058562555458
108,a272026,Collection,Collection,2021-06-03,2021,2021-06-06,2021,Cote d'Azur Collection,Women's Fashion,Retail,In store,Exclusive Offer,c61764787,1,1,3 days,3.0,-8878.058562555458,0.0,-8878.058562555458
109,a896620,Business Treatment,Special Client,2020-06-18,2020,2020-06-18,2020,Sailor Collection,Women's Fashion,Client,Outside venue,Business Engagement,c13678176,1,1,0 days,0.0,35577.13150684931,0.0,35577.13150684931
110,a896620,Business Treatment,Special Client,2020-06-18,2020,2020-06-18,2020,Sailor Collection,Women's Fashion,Client,Outside venue,Business Engagement,c27460224,1,1,0 days,0.0,35577.13150684931,0.0,35577.13150684931
111,a896620,Business Treatment,Special Client,2020-06-18,2020,2020-06-18,2020,Sailor Collection,Women's Fashion,Client,Outside venue,Business Engagement,c38003436,1,1,0 days,0.0,35577.13150684931,0.0,35577.13150684931
112,a759168,Collection,Collection,2022-04-14,2022,2022-04-16,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c31330711,1,1,2 days,2.0,-8945.51729957806,0.0,-8945.51729957806
113,a759168,Collection,Collection,2022-04-14,2022,2022-04-16,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c16085637,1,1,2 days,2.0,-8945.51729957806,0.0,-8945.51729957806
114,a759168,Collection,Collection,2022-04-14,2022,2022-04-16,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c88075630,1,1,2 days,2.0,-8945.51729957806,0.0,-8945.51729957806
115,a759168,Collection,Collection,2022-04-14,2022,2022-04-16,2022,Summer Collection,Women's Fashion,Retail,In store,Exclusive Offer,c00315827,1,1,2 days,2.0,-8945.51729957806,0.0,-8945.51729957806
116,a054594,Collection,Collection,2020-09-18,2020,2020-09-19,2020,Winter Collection,Women's Fashion,Retail,In store,Social Gathering,c42969254,1,1,1 days,1.0,9035.249469214437,0.0,9035.249469214437
117,a448098,Collection,Collection,2022-04-21,2022,2022-04-24,2022,Small Jewelry and Timepieces,Timepieces and Jewelry,Retail,In store,Exclusive Offer,c64526068,1,1,3 days,3.0,-8994.003887269193,0.0,-8994.003887269193
118,a538131,Collection,Collection,2021-11-06,2021,2021-11-08,2021,Formal Retail Action,Men's Fashion,Retail,,Exclusive Offer,c58360744,1,1,2 days,2.0,-10591.127151051625,0.0,-10591.127151051625
119,a538131,Collection,Collection,2021-11-06,2021,2021-11-08,2021,Formal Retail Action,Men's Fashion,Retail,,Exclusive Offer,c30644659,1,1,2 days,2.0,-10591.127151051625,0.0,-10591.127151051625
120,a984311,Collection,Collection,2020-05-07,2020,2020-05-20,2020,Fall Collection,Men's Fashion,Retail,,Exclusive Offer,c12941616,0,1,13 days,13.0,,,
121,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c11637975,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
122,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c31846234,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
123,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c41770814,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
124,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c69501045,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
125,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c51744584,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
126,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c44618564,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
127,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c16533718,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
128,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c97756791,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
129,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c92882657,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
130,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c08983122,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
131,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c20818390,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
132,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c36557753,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
133,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c45263720,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
134,a874574,Collection,Collection,2022-04-21,2022,2022-04-22,2022,Fall Collection,Women's Fashion,Retail,In store,Exclusive Offer,c47291509,1,1,1 days,1.0,-8994.003887269193,0.0,-8994.003887269193
